id,ignored,name,country,category,turns,length_km
1740968730,False,24 Hours of Le Mans Circuit,France,circuit,38,13.62
920145926,False,Autodromo Internazionale Enzo E Dino Ferrari Imola,Italy,circuit,17,4.9
4241994684,False,Autodromo Nazionale Monza GP,Italy,circuit,11,5.79
1184596327,False,Autodromo Nazionale Monza GP Historic,Italy,circuit,6,6.3
1327182267,False,Autodromo Nazionale Monza Historic Oval + GP Mix,Italy,circuit,9,10.0
4131920659,False,Autodromo Nazionale Monza Oval Historic,Italy,circuit,2,4.24
368740158,False,Autodromo Nazionale Monza Short,Italy,circuit,4,2.45
3878349996,False,Autódromo Internacional do Algarve,Portugal,circuit,14,4.69
832629329,False,Azure Circuit,France,circuit,19,3.34
560711985,True,Azure Coast,France,point to point,95,19.25
550129415,True,Azure Coast Stage 1,France,point to point,40,7.4
3514087720,True,Azure Coast Stage 2,France,point to point,33,6.88
2557706171,True,Azure Coast Stage 3,France,point to point,22,4.96
2358176792,True,Azure Coast Westbound,France,point to point,95,19.27
3692283027,False,Bannochbrae Road Circuit,Scotland,circuit,25,7.28
1828877100,True,Barcelona Rallycross,Spain,circuit,13,1.09
921120824,False,Bathurst Mount Panorama,Australia,circuit,23,6.21
1988984740,False,Brands Hatch GP,United Kingdom,circuit,9,3.9
1300627020,False,Brands Hatch Indy,United Kingdom,circuit,6,1.92
3387066030,False,Brno GP,Czech Republic,circuit,15,5.4
328972919,False,Cadwell Park Club,United Kingdom,circuit,7,2.37
1876749797,False,Cadwell Park GP,United Kingdom,circuit,11,3.47
2886778255,False,Cadwell Park Woodland,United Kingdom,circuit,5,1.13
2701023129,True,California Highway Full,USA,point to point,107,20.64
928006536,True,California Highway Reverse,USA,point to point,107,20.64
1676943041,True,California Highway Stage 1,USA,point to point,68,6.62
940391868,True,California Highway Stage 2,USA,point to point,24,8.15
3963464445,True,California Highway Stage 3,USA,point to point,15,5.85
2559054883,True,Chesterfield Karting Circuit,United Kingdom,kart,13,0.87
3252038398,False,Circuit de Barcelona-Catalunya Club,Spain,circuit,6,1.7
521933422,False,Circuit de Barcelona-Catalunya GP,Spain,circuit,16,4.62
3296775302,False,Circuit de Barcelona-Catalunya National,Spain,circuit,11,3.06
904625875,False,Circuit de Spa-Francorchamps GP,Belgium,circuit,20,7.0
2490004715,False,Circuit de Spa-Francorchamps Historic,Belgium,circuit,21,14.09
802214179,False,Circuit of the Americas Club,USA,circuit,6,1.98
2050315946,False,Circuit of the Americas GP,USA,circuit,20,5.51
1629467388,False,Circuit of the Americas National,USA,circuit,17,3.7
2239809056,True,Classic Brands Hatch Rallycross,United Kingdom,circuit,11,1.22
35770107,True,Daytona International Speedway Rallycross,USA,circuit,15,1.15
2054003546,False,Daytona International Speedway Tri-Oval,USA,circuit,4,4.02
467707118,False,Daytona Road Course,USA,circuit,12,5.72
980779751,True,DirtFish Boneyard Course,USA,circuit,13,1.45
2600030656,True,DirtFish Mill Run Course,USA,circuit,15,1.53
2186625931,True,DirtFish Pro Rallycross Course,USA,circuit,12,1.35
354022214,False,Donington Park GP,United Kingdom,circuit,12,4.02
3100947921,False,Donington Park National,United Kingdom,circuit,10,3.14
1735854797,False,Dubai Autodrome Club,United Arab Emirates,circuit,11,2.46
3633079779,False,Dubai Autodrome GP,United Arab Emirates,circuit,16,5.33
3584254603,False,Dubai Autodrome International,United Arab Emirates,circuit,12,4.32
4263239849,False,Dubai Autodrome National,United Arab Emirates,circuit,17,3.58
4062453922,True,Dubai Kartdrome,United Arab Emirates,kart,17,1.16
2599752939,False,Fuji GP,Japan,circuit,16,3.9
766599953,True,Glencairn East,Scotland,kart,14,0.51
3848172327,True,Glencairn East Reverse,Scotland,kart,14,0.5
3228224516,True,Glencairn GP,Scotland,kart,20,0.92
2774122716,True,Glencairn Reverse,Scotland,kart,20,0.92
2886187703,True,Glencairn West,Scotland,kart,9,0.45
3381341938,True,Glencairn West Reverse,Scotland,kart,9,0.44
3134524219,True,Greenwood Karting Circuit,Scotland,kart,13,1.07
1552853772,False,Hockenheim Classic GP,Germany,circuit,16,6.79
1695182971,False,Hockenheim GP,Germany,circuit,16,4.57
2317824311,False,Hockenheim National,Germany,circuit,15,3.69
761864750,True,Hockenheim Rallycross,Germany,circuit,12,1.25
1768660198,False,Hockenheim Short,Germany,circuit,14,2.63
62242453,True,Indianapolis Motor Speedway Oval,USA,oval,4,4.02
211444010,False,Indianapolis Motor Speedway Road Course,USA,circuit,13,4.02
2168579513,False,Knockhill International,Scotland,circuit,9,2.09
3206894082,False,Knockhill International Reverse,Scotland,circuit,9,2.09
1887425815,False,Knockhill National,Scotland,circuit,10,1.6
458589160,False,Knockhill National Reverse,Scotland,circuit,10,1.6
977699253,True,Knockhill Rallycross,Scotland,circuit,8,1.37
3353861064,True,Knockhill Tri-Oval,Scotland,circuit,3,0.48
2087662703,True,Lånkebanen Rallycross,Norway,circuit,7,1.01
3267032607,False,Le Mans Bugatti Circuit,France,circuit,14,4.27
1457129528,True,Le Mans International Karting Circuit,France,kart,19,1.38
167552033,False,Le Mans Vintage Track,France,circuit,18,13.46
1731699995,False,Long Beach Street Circuit,USA,circuit,11,3.86
953639515,False,Lydden Hill GP,United Kingdom,circuit,4,1.45
673609283,True,Lydden Hill Rallycross,United Kingdom,circuit,4,1.17
2682943968,False,Mazda Raceway Laguna Seca,USA,circuit,11,3.6
3387498244,True,Mercedes-Benz Driving Events Ice Track 1,Sweden,circuit,15,2.01
1365171965,True,Mercedes-Benz Driving Events Ice Track 2,Sweden,circuit,23,2.33
3569358649,True,Mercedes-Benz Driving Events Ice Track 3,Sweden,circuit,32,2.75
480123345,True,Mercedes-Benz Driving Events Ice Track 4,Sweden,circuit,23,2.64
2208202376,True,Mercedes-Benz Driving Events Ice Track 5,Sweden,circuit,43,4.48
3310957537,False,Mojave Boa Ascent,USA,circuit,17,2.93
31280808,False,Mojave Cougar Ridge,USA,circuit,17,5.55
369271528,False,Mojave Coyote Noose,USA,circuit,3,1.81
4234466862,False,Mojave Gila Crest,USA,circuit,11,3.46
2015693491,False,Mojave Sidewinder,USA,circuit,11,2.66
1730519219,False,Mugello GP,Italy,circuit,14,5.24
2184412417,False,Mugello Short,Italy,circuit,7,2.28
3403453048,False,Nürburgring Combined,Germany,circuit,87,25.37
3348999902,False,Nürburgring GP,Germany,circuit,16,5.14
4048000896,False,Nürburgring Müllenbach,Germany,circuit,8,1.48
697498609,False,Nürburgring Nordschleife,Germany,circuit,73,20.83
1459212514,True,Nürburgring Nordschleife Stage 1,Germany,point to point,36,6.9
3994580005,True,Nürburgring Nordschleife Stage 2,Germany,point to point,33,5.96
1128950148,True,Nürburgring Nordschleife Stage 3,Germany,point to point,44,7.87
3585230195,False,Nürburgring Sprint,Germany,circuit,11,3.62
3484251453,False,Nürburgring Sprint Short,Germany,circuit,9,3.06
3100781576,False,Oschersleben A Course,Germany,circuit,16,3.66
816601966,False,Oschersleben B Course,Germany,circuit,8,2.43
2935667702,False,Oschersleben C Course,Germany,circuit,8,1.1
