id,ignored,name,class_id,year,drivetrain,top_speed_kmph,accel_to_100kmph,bhp,mass_kg,number_of_gears,engine_layout,abs,tc,sc,control_difficulty,cornering_speed
2771777615,True,Porsche 917/10,C-AM,1971,RWD,354,2.09,1000,830,4,F12,False,False,False,3,2
3941218963,True,Ford Mustang RTR Spec - 5D,DRFT,2017,RWD,264,4.5,900,1270,4,V8,False,False,False,3,2
2328906350,False,Mazda MX-5 Radbul,DRFT,2015,RWD,308,3.9,1200,1225,6,R3,False,False,False,3,1
2574370663,True,Ferrari F355 Challenge,F355,2001,RWD,300,4.6,375,1355,6,V8,True,False,False,2,2
1909945073,False,Formula A,FA,2011,RWD,343,2.79,760,650,7,V8,False,False,False,3,3
3253292325,False,Formula C,FC,2016,RWD,270,2.0,205,500,6,I4,False,False,False,2,2
754463374,False,Ferrari 488 Challenge (APAC),FERS,2017,RWD,310,3.6,670,1340,7,V8,True,True,False,2,2
1471547500,False,Ferrari 488 Challenge (EU),FERS,2017,RWD,310,3.6,670,1340,7,V8,True,True,False,2,2
345014385,False,Ferrari 488 Challenge (NA),FERS,2017,RWD,310,3.6,670,1340,7,V8,True,True,False,2,2
2219682419,False,Formula Rookie,FR,2012,RWD,235,5.1,106,425,4,I4,False,False,False,1,2
1626504761,False,Formula Renault 3.5,FR35,2015,RWD,300,2.9,530,623,6,V8,False,False,False,2,3
3855427461,False,Formula X,FX,2018,RWD,386,2.79,1150,730,6,V12,False,False,False,3,3
310900789,False,Ginetta G40 Junior,G40J,2013,RWD,193,5.44,100,890,6,I4,False,False,False,1,1
1368036017,False,BMW M1 Procar,GR.4,1981,RWD,333,4.3,485,1020,5,I6,False,False,False,2,2
1317086096,True,Ferrari 512 BB LM,GR.4,1978,RWD,320,4.4,475,1200,5,F12,False,False,False,3,2
4083384819,True,Porsche 924 Carrera GTP,GR.4,1980,RWD,286,4.69,320,945,5,F4,False,False,False,1,2
779111340,False,BMW 320 Turbo Group 5,GR.5,1978,RWD,334,4.59,640,875,5,I4,False,False,False,3,2
3406832937,True,Datsun 280ZX IMSA GTX,GR.5,1981,RWD,335,3.79,940,1275,5,V8,False,False,False,3,2
4016661190,False,Nissan Skyline Super Silhouette,GR.5,1982,RWD,290,4.4,640,1005,5,I4,False,False,False,3,2
1319185453,False,Porsche 935/77,GR.5,1977,RWD,350,4.4,760,1070,4,F6,False,False,False,3,2
3024732648,True,Porsche 935/78,GR.5,1978,RWD,366,4.4,800,1025,4,F6,False,False,False,3,2
3870535055,True,Porsche 935/78-81,GR.5,1981,RWD,366,4.4,800,1025,4,F6,False,False,False,3,2
1213801406,False,Porsche 935/80,GR.5,1979,RWD,350,4.4,760,1070,4,F6,False,False,False,3,2
1817703058,False,Zakspeed Ford Capri Group 5,GR.5,1980,RWD,331,4.09,610,830,5,I4,False,False,False,3,2
3788694694,False,Porsche 936 Spyder,GR.6,1977,RWD,344,4.2,540,740,5,F6,False,False,False,3,2
3954590596,True,Audi V8 quattro DTM,GR.A,1991,AWD,322,4.09,450,1250,6,V8,False,False,False,1,1
3360868789,False,BMW M3 Sport Evo Group A,GR.A,1991,RWD,293,5.19,320,960,5,I4,True,False,False,2,2
3041492578,False,Ford Sierra Cosworth RS500 Group A,GR.A,1988,RWD,301,5.4,390,1040,5,I4,False,False,False,3,2
262982797,False,Mercedes-Benz 190E 2.5-16 Evolution 2 DTM,GR.A,1991,RWD,300,5.19,340,980,5,I4,True,False,False,3,2
2136103830,True,Nissan Skyline GT-R (BNR32) Group A,GR.A,1991,AWD,306,4.8,500,1260,5,I6,False,False,False,2,2
2702065929,True,Audi Sport quattro S1,GR.B,1986,AWD,238,3.09,450,1090,6,I5,False,False,False,2,1
375801487,False,Ford RS200 Evolution Group B,GR.B,1986,AWD,257,3.09,444,1050,5,I4,False,False,False,2,1
3627124995,True,Renault 5 Maxi Turbo,GR.B,1984,RWD,243,4.19,360,905,5,I4,False,False,False,2,1
1716535504,False,Jaguar XJR-9,GR.C,1988,RWD,346,2.7,720,855,5,V12,False,False,False,3,3
2806835898,False,Jaguar XJR-9 LM,GR.C,1988,RWD,386,3.7,720,881,5,V12,False,False,False,3,3
4275744320,False,Nissan GTP ZX-Turbo,GR.C,1988,RWD,322,3.29,900,952,5,V6,False,False,False,3,3
1891730007,False,Nissan R89C,GR.C,1989,RWD,330,3.5,800,910,5,V8,False,False,False,3,3
2533887208,False,Nissan R89C LM,GR.C,1989,RWD,399,3.7,800,910,5,V8,False,False,False,3,3
957632269,True,Porsche 962C,GR.C,1987,RWD,322,3.4,720,850,5,F6,False,False,False,3,3
4246525161,True,Porsche 962C Langheck,GR.C,1988,RWD,355,3.4,720,850,5,F6,False,False,False,3,3
1368545018,False,Sauber C9 LM Mercedes-Benz,GR.C,1989,RWD,409,2.79,720,900,5,V8,False,False,False,3,3
65306143,False,Sauber C9 Mercedes-Benz,GR.C,1989,RWD,409,2.79,720,900,5,V8,False,False,False,3,3
3595323626,False,Renault Alpine A442B,GR.6,1978,RWD,370,4.2,520,715,5,V6,False,False,False,3,2
2566143295,False,Ferrari F50 GT,GT1,1996,RWD,325,3.29,600,909,6,V12,False,False,False,2,2
3293397987,False,McLaren F1 GTR Long Tail,GT1,1997,RWD,386,2.55,600,915,6,V12,True,False,False,2,2
1979398129,False,Mercedes-Benz CLK-LM,GT1,1998,RWD,325,3.29,600,974,6,V8,True,True,False,2,2
3951943788,False,Nissan R390 GT1,GT1,1998,RWD,325,3.4,650,1017,6,V8,True,False,False,2,2
3423713365,True,Panoz Esperante GTR1,GT1,1998,RWD,314,3.4,600,961,6,V8,False,False,False,2,2
1076438091,False,Porsche 911 GT1-98,GT1,1998,RWD,310,3.2,580,967,6,F6,True,False,False,2,2
2599532525,False,Toyota GT-One (1998),GT1,1998,RWD,323,3.3,600,920,6,V8,True,True,False,2,3
3416883430,False,Acura NSX GT3,GT3,2017,RWD,300,3.3,500,1285,6,V6,True,True,False,2,2
1452261378,False,Aston Martin Vantage GT3,GT3,2013,RWD,300,3.29,525,1275,6,V12,True,True,False,2,2
1934199723,False,Audi R8 LMS,GT3,2015,RWD,303,3.3,490,1250,6,V10,True,True,False,2,2
998894988,False,Audi R8 LMS Endurance,GT3,2015,RWD,303,3.3,490,1250,6,V10,True,True,False,2,2
987814806,False,Bentley Continental GT3 (2015),GT3,2015,RWD,304,3.3,492,1310,6,V8,True,True,False,2,2
3293302308,False,Bentley Continental GT3 (2016),GT3,2016,RWD,304,3.3,492,1310,6,V8,True,True,False,2,2
1637772163,False,Bentley Continental GT3 Endurance,GT3,2016,RWD,304,3.3,492,1310,6,V8,True,True,False,2,2
4053780148,False,BMW M6 GT3,GT3,2016,RWD,300,3.5,520,1325,6,V8,True,True,False,2,2
1161219858,False,BMW Z4 GT3,GT3,2012,RWD,296,3.5,510,1230,6,V8,True,True,False,2,2
2269735930,False,Cadillac ATS-V.R GT3,GT3,2016,RWD,300,3.3,485,1300,6,V6,True,True,False,2,2
185812116,False,Ferrari 488 GT3,GT3,2016,RWD,303,3.6,490,1265,6,V8,True,True,False,2,2
3124293020,False,Ginetta G55 GT3,GT3,2017,RWD,296,3.4,495,1265,6,V8,True,True,False,2,2
4201933325,False,Lamborghini Huracán GT3,GT3,2016,RWD,300,3.5,490,1275,6,V10,True,True,False,2,2
1153746660,False,McLaren 650S GT3,GT3,2016,RWD,300,3.5,500,1265,6,V8,True,True,False,2,2
1353949246,False,Mercedes-AMG GT3,GT3,2015,RWD,300,3.5,515,1305,6,V8,True,True,False,2,2
274862187,False,Mercedes-Benz SLS AMG GT3,GT3,2012,RWD,307,3.5,580,1325,6,V8,True,True,False,2,2
2878763807,False,Nissan GT-R Nismo GT3 (R35),GT3,2016,RWD,304,3.5,515,1310,6,V6,True,True,False,2,2
809291220,False,Porsche 911 GT3 R,GT3,2016,RWD,299,3.4,500,1245,6,F6,True,True,False,2,2
1972396515,False,Porsche 911 GT3 R Endurance,GT3,2016,RWD,299,3.4,500,1245,6,F6,True,True,False,2,2
2434080703,False,Renault Sport R.S. 01 GT3,GT3,2015,RWD,300,3.6,530,1260,7,V6,True,True,False,2,2
2086246081,False,Aston Martin Vantage GT4,GT4,2013,RWD,302,4.4,420,1380,6,V8,True,True,False,2,2
2749517114,False,BMW M3 GT4 (E92),GT4,2012,RWD,276,4.69,415,1395,6,V8,True,True,False,2,2
1111049682,False,Ford Mustang Boss 302R,GT4,2013,RWD,301,4.59,420,1535,6,V8,True,True,False,2,2
161704608,False,Ford Mustang RTR GT4,GT4,2016,RWD,281,4.59,435,1545,6,V8,True,True,False,2,2
2091910841,False,Ginetta G55 GT4,GT4,2013,RWD,266,4.3,350,1150,6,V6,False,False,False,2,2
1574251638,False,KTM X-Bow GT4,GT4,2016,RWD,265,3.9,360,1145,6,I4,True,True,False,2,2
1464988033,False,Porsche Cayman GT4 Clubsport MR,GT4,2016,RWD,295,4.09,385,1330,6,F6,True,True,False,2,2
1764851930,False,Toyota GT-86 Rocket Bunny GT4,GT4,2015,RWD,277,4.9,365,1175,6,F4,True,True,False,1,2
58065064,False,Ginetta G40 GT5,GT5,2015,RWD,235,5.09,160,910,6,I4,False,False,False,1,2
728095309,False,Chevrolet Camaro Z/28 '69 TransAm,VGTA,1969,RWD,305,5.4,410,1270,4,V8,False,False,False,2,1
696555869,False,Ferrari 365 GTB4 Competizione,VGTA,1971,RWD,295,5.8,402,1240,5,V12,False,False,False,2,1
3107219035,False,BMW 2002 StanceWorks Edition,VGTB,1973,RWD,257,5.19,270,1035,5,I4,False,False,False,1,1
3679780595,False,Ford Escort RS1600 (Racing),VGTB,1972,RWD,220,6.69,190,765,4,I4,False,False,False,1,1
4203152210,False,Aston Martin DBR1/300,VGTC,1959,RWD,266,5.4,254,856,5,I6,False,False,False,2,1
1401532035,False,Aston Martin Vantage GTE,GTE,2014,RWD,301,3.15,520,1225,6,V8,False,True,False,2,2
3512434557,False,BMW M6 GTLM,GTE,2016,RWD,274,3.5,555,1230,6,V8,False,True,False,2,2
3910923019,False,Chevrolet Corvette C7.R,GTE,2016,RWD,295,3.2,500,1245,6,V8,False,True,False,2,2
405826415,False,Ferrari 488 GTE,GTE,2016,RWD,305,3.6,525,1250,6,V8,False,True,False,2,2
2438214702,False,Ford GT LM GTE,GTE,2016,RWD,308,3.5,500,1265,6,V6,False,True,False,2,2
2999114098,True,Porsche 911 RSR,GTE,2017,RWD,295,3.4,525,1250,6,F6,False,True,False,2,2
1470929381,False,Audi 90 quattro IMSA GTO,GTO,1989,AWD,310,3.1,720,1206,5,I5,False,False,False,2,2
1015579264,False,Ferrari F40 LM,GTO,1989,RWD,370,3.79,715,1050,5,V8,False,False,False,3,2
4283632081,False,Ford Mustang Cobra TransAm,GTO,1997,RWD,344,3.09,650,1270,5,V8,False,False,False,3,2
3097547507,False,Lamborghini Diablo GTR,GTO,1999,RWD,338,3.5,580,1395,6,V12,False,False,False,2,2
3590815466,False,Nissan 300ZX Turbo IMSA GTS,GTO,1994,RWD,340,3.5,780,1200,5,V6,False,False,False,3,2
1747257697,False,Nissan 300ZX Turbo LM,GTO,1994,RWD,340,3.5,780,1200,5,V6,False,False,False,3,2
3967020141,True,Porsche 961,GTO,1986,AWD,340,3.2,680,1169,6,F6,False,False,False,2,2
